0.3147,42,170,303353.6471,97.71764706,91,20,0
0.2931,6,39,620109.2308,50.84615385,6,0,0
0.3619,208,499,147039.0782,62.93386774,121,7,0
0.3239,166,0,0,0,0,0,0
0.2892,13,52,1263039.231,36.19230769,1,1,0
0.2945,61,11,2358365.455,62.36363636,2,0,0
0.3241,53,11,1951903.636,22.54545455,1,0,0
0,2,0,0,0,0,0,0
0.3189,401,133,557816.391,57.42105263,92,2,0
0.2918,292,916,147646.441,61.4650655,82,0,0
0.3605,239,891,170025.9933,23.9349046,281,9,0
0.3587,192,266,286471.3534,16.63533835,48,5,0
0.2743,20,21,21622.85714,32.23809524,2,1,0
0.3287,269,0,0,0,0,0,0
0.2915,85,0,0,0,0,0,0
0.3241,37,17,4751548.235,33.35294118,2,0,0
0.371,475,1273,105997.9419,28.52788688,334,21,0
0.3398,172,184,699675.9783,45.66847826,73,4,0
0.3333,237,959,143330.1147,35.00312826,78,32,0
0.2693,26,18,5435743.333,42.38888889,4,1,0
0,0,0,0,0,0,0,0
0.343,247,268,43052.46269,27.28358209,63,23,0
0.3006,29,0,0,0,0,0,0
0,483,145,576977.7931,50.00689655,47,0,0
0,14,149,605707.2483,47.51006711,22,0,0
0.283,177,131,158815.4198,35.51145038,34,0,0
0.2917,205,2044,66697.63209,28.68101761,383,5,0
0.2688,200,467,254613.5332,59.4111349,91,4,99
0.3328,116,400,149914.2,28.865,98,2,1342
0,120,120,990279,63.65833333,36,0,0
0.3525,264,11,7362981.818,10.09090909,1,0,0
0.216,4,14,1014287.143,57.57142857,2,2,0
0.3485,936,3492,43338.57388,58.59593356,558,42,0
0.3246,240,1687,94569.70954,38.66627149,246,53,0
0.2969,169,240,453911.75,24.77916667,49,0,24
0.2703,27,219,673412.0548,71.51598174,47,0,0
0.3116,37,0,0,0,0,0,0
0.3512,285,119,602541.6807,15.94957983,33,2,0
0.3474,307,90,619720.6667,26.68888889,23,0,0
0.3434,334,18,1176260,24.83333333,5,0,0
0.3166,67,590,170171.8983,66.91694915,129,1,0
0.3315,107,1292,99374.21053,27.32430341,320,3,0
0.3168,193,39,190484.6154,46.8974359,9,0,0
0.347,628,1259,84575.64734,29.73391581,256,24,396
0.361,217,358,246392.514,42.31284916,73,1,0
0.2889,81,23,4269075.652,54.26086957,9,0,0
0.2353,25,33,1948227.273,94.81818182,1,0,0
0.372,345,1309,91512.78839,52.62796028,324,34,0
0.3472,272,188,571880.7447,53.36170213,64,3,0
0.3598,163,40,1538469,59.3,18,2,0
0,13,26,3413921.538,61.03846154,8,5,0
0.3333,221,1018,130839.0766,47.38015717,240,17,0
0.3494,335,179,494165.6983,49.77653631,47,6,0
0.3612,2384,634,239742.6814,67.16246057,112,0,0
0.3245,83,195,273169.2308,95.64615385,69,5,0
0,8,100,854179.2,43.41,10,6,0
0.3467,790,4699,27282.12386,46.09406257,994,146,0
0.3291,1374,275,448858.6909,85.14909091,91,89,0
0.3188,223,568,202398.5915,46.61267606,172,2,0
0.3189,220,1192,111871.8624,45.95721477,313,39,0
0.3232,15,0,0,0,0,0,0
0.342,337,2613,50462.98507,33.09605817,631,3,0
0.2868,222,3485,42419.51793,39.61176471,606,23,0
0.3337,195,751,137935.3662,34.38748336,5,0,1528
0.3069,497,1572,67956.37405,37.10368957,351,98,0
0.3077,19,116,904674.3103,51.04310345,18,4,0
0.3284,156,145,795295.8621,62.15172414,26,3,0
0,4,50,206176.8,40.78,5,1,44
0.359,83,84,1180680.714,44.3452381,14,1,119
0.339,364,421,324481.8527,40.89548694,144,4,0
0.3174,656,1482,92928.09717,52.95546559,287,19,0
0,3,0,0,0,0,0,0
0.3309,506,3399,34388.06708,44.39629303,958,40,0
0.3326,185,760,147926.6053,42.46578947,232,68,0
0.293,50,492,97981.82927,16.87195122,18,1,0
0.3096,169,292,359666.3014,41.93150685,105,7,0
0.3596,418,434,191709.4009,44.34792627,131,0,0
0.3036,463,1832,24287.65284,45.81768559,560,52,0
0.3243,411,330,155012.3636,56.53030303,69,5,0
0.2787,23,384,283212.3438,56.06510417,92,15,0
0.311,124,100,385405.8,73.97,22,0,0
0.2793,10,94,211776.383,71.06382979,13,14,3512
0.2737,7,24,158677.5,6.458333333,15,4,559
0.2833,100,109,785755.5963,32.22018349,20,4,0
0.303,681,7947,17974.48849,60.86636467,2318,1312,3818
0.3437,142,453,297685.298,33.83664459,100,20,0
0.3539,373,3192,43548.21429,24.54260652,927,44,25
0.3303,90,29,926615.1724,27.93103448,6,2,0
0.3453,152,846,173962.9078,74.65484634,245,60,0
0.3343,92,409,302533.2029,47.89486553,137,14,0
0.2047,15,117,789708.7179,24.84615385,17,4,0
0.357,499,1989,69163.86124,30.60935143,530,278,9276
0.3369,156,435,304167.4483,33.08275862,147,10,0
